FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,PTS,,,
0.447,0.271,0.5,0.721,3.6,0.7,0.4,0.5,5.2,,,
0.414,0.111,0.427,0.652,5.1,0.9,0.6,0.3,6.7,,,
0.557,0,0.562,0.72,5.6,0.8,0.5,0.6,11.5,,,
0.574,0.413,0.59,0.612,6.1,1.6,0.6,0.8,9.3,,,
0.437,0.317,0.47,0.6,2.1,0.6,0.2,0.3,4.9,,,
0.421,0.304,0.431,0.641,3.8,0.8,0.5,0.3,5.2,,,
0.535,0.083,0.54,0.805,10.2,2.2,1.5,2.9,24.4,,,
0.41,0.366,0.534,0.783,3.1,0.8,0.3,0.2,6.3,,,
0.502,0.4,0.504,0.728,7.6,5.3,0.9,0.5,21.9,,,
0.46,0.32,0.512,0.774,4.3,2.9,0.4,0.3,8.7,,,
0.642,0,0.647,0.696,4.3,0.5,0.7,1.3,7.3,,,
0.504,0.281,0.515,0.79,4.9,1.3,0.5,0.4,10.6,,,
0.515,,0.515,0.82,3.8,0.4,0.2,0.2,7.2,,,
0.499,,0.499,0.627,6.8,1.3,0.6,0.2,11.8,,,
0.392,0.393,0.39,0.886,3.9,1.3,0.6,0.5,7.3,,,
0.414,0.376,0.475,0.571,2.3,0.3,0.2,0.3,6.3,,,
0.449,0.133,0.48,0.574,2.9,0.3,0.2,0.4,3.7,,,
0.457,0.1,0.468,0.617,3.9,0.8,0.7,0.6,5.2,,,
0.404,0.236,0.471,0.78,2.9,1,0.8,0.4,6.6,,,
0.511,0,0.514,0.654,5.2,1.7,0.6,0.5,7.9,,,
0.471,0.2,0.479,0.739,6.8,3.4,0.7,0.7,11.7,,,
0.525,0.167,0.527,0.669,8.2,1.5,0.8,1.7,16,,,
0.447,0.314,0.511,0.684,2.7,0.7,0.5,0.1,8.3,,,
0.459,0.38,0.486,0.882,5.9,1.9,0.5,0.4,17.3,,,
0.504,0.368,0.536,0.602,5.9,1.8,0.8,0.5,12,,,
0.443,0.337,0.523,0.66,8.2,3.7,1.6,1.3,11.7,,,
0.399,0.39,0.401,0.773,4.4,1,0.4,0.2,5.4,,,
0.601,,0.601,0.487,7.6,1.2,0.6,1.2,8.3,,,
0.472,0.389,0.515,0.645,4.8,1,0.6,0.3,11.5,,,
0.513,0,0.548,0.481,4.3,0.7,0.4,0.4,2.3,,,
0.459,0,0.466,0.632,2.3,0.5,0.6,0.3,4,,,
0.496,,0.496,0.75,10.2,2.1,1.1,0.5,15.9,,,
0.589,0.216,0.643,0.657,3.7,1.4,0.8,1,7.9,,,
0.439,0.283,0.494,0.744,7.6,2.3,0.8,0.7,13.3,,,
0.422,,0.422,0.577,3.3,0.3,0.3,0.7,3.3,TOV,PF,PTS
0.47,0,0.471,0.622,6.5,1,0.4,0.7,6.1,0.8,1.8,5.2
0.552,0,0.556,0.289,4,0.4,0.6,0.4,2.7,1.4,2.8,6.7
0.367,,0.367,0.444,1.9,0.5,0.1,0.1,2.9,1.3,2.7,11.5
0.443,0.241,0.467,0.627,3.3,0.7,0.3,0.1,4.5,1.5,3,9.3
