FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,PTS
0.412,0.274,0.485,0.712,4.6,0.8,0.9,0.8,5.6
0.468,0.371,0.49,0.701,1.7,0.5,0.6,0.1,4.5
0.466,0.349,0.553,0.596,3.3,3,1.2,0.3,7.8
0.437,0.31,0.453,0.76,4.6,2.1,1,0.6,16.9
0.355,0.338,0.371,0.833,2.2,0.5,0.4,0.1,3.8
0.453,0.355,0.531,0.821,2.7,0.9,0.4,0.1,9
0.444,0.341,0.474,0.797,6.6,3.1,1,0.4,24.2
0.407,0.379,0.441,0.902,2.5,1,0.6,0.1,5.9
0.462,0.38,0.521,0.72,4.9,2.4,1,0.3,15.7
0.433,0.364,0.474,0.827,3,1,0.7,0.1,6.8
0.361,0.311,0.42,0.733,2.2,1,0.2,0.2,6.2
0.355,0.262,0.415,0.75,2.5,0.9,0.6,0.3,5.4
0.426,0.268,0.491,0.743,3.7,2.2,1.4,0.2,11.5
0.452,0.406,0.538,0.696,0.7,0.8,0.2,0.1,4.8
0.401,0.355,0.453,0.895,3.7,1.4,0.8,0.3,12.4
0.401,0.357,0.449,0.757,2.7,0.6,0.4,0.2,6.3
0.487,0.395,0.567,0.702,5.3,1.7,1.3,0.2,12.6
0.379,0.38,0.378,0.81,2.3,0.9,0.4,0.2,4.6
0.445,0.364,0.481,0.812,4.9,4.1,1.4,0.4,19.3
0.482,0.405,0.519,0.72,5.5,1.4,0.7,0.2,10.1
0.441,0.432,0.469,0.545,1.6,0.6,0.3,0.1,3.7
0.42,0.293,0.499,0.773,3.6,1.1,0.9,0.3,7.7
0.422,0.244,0.525,0.67,2.2,1,0.5,0.4,5.2
0.409,0.326,0.461,0.84,2.8,0.8,0.4,0.3,5
0.368,0.36,0.423,0.848,1.1,0.4,0.2,0.1,4.4
0.43,0.332,0.473,0.833,4.2,1.7,0.7,0.4,15
0.352,0.314,0.383,0.591,3,1.2,0.6,1,6.3
0.415,0.356,0.493,0.75,2.2,2.3,0.9,0.1,5
0.479,0.349,0.519,0.802,7.2,2.5,2.3,0.8,16.5
