FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,PTS
0.443,0.348,0.53,0.812,2.8,1.1,0.8,0.1,7.4
0.397,0.338,0.439,0.807,2.4,2.5,0.7,0.1,10.3
0.412,0.353,0.485,0.75,1.4,0.8,0.4,0.3,3.3
0.458,0.247,0.612,0.479,3.8,1,0.8,0.4,3.4
0.463,0.434,0.497,0.888,2.6,0.8,0.7,0.1,10.7
0.393,0.293,0.419,0.735,1.8,1.1,0.4,0.2,5.6
0.424,0.354,0.466,0.843,3.2,1.7,0.5,0.1,13.3
0.409,0.298,0.449,0.675,2,2,0.6,0.2,7
0.429,0.352,0.47,0.79,3.1,1.8,1.1,0.2,13.9
0.437,0.361,0.475,0.836,1.1,0.9,0.3,0,6.2
0.437,0.358,0.507,0.813,2.9,1.7,0.9,0.2,12.1
0.427,0.409,0.434,0.783,3.8,3.1,1.2,0.3,15.3
0.398,0.345,0.459,0.807,3.1,1.1,0.9,0.4,13.5
0.436,0.396,0.46,0.699,1.5,1,0.7,0.1,6.8
0.448,0.402,0.473,0.86,2.3,2,1,0.2,10.1
0.436,0.418,0.466,0.874,4.2,2,1.2,1.1,11.7
0.413,0.284,0.426,0.832,4.6,3.5,1.2,0.2,20.1
0.396,0.297,0.431,0.68,2.4,2,1.1,0.3,11.8
0.47,0.284,0.489,0.768,3.5,4.8,1.2,0.3,21.5
0.34,0.311,0.358,0.674,3.2,1.2,1.2,0.3,5.3
0.411,0.448,0.38,0.805,2.6,3.8,0.8,0.2,13.4
0.44,0.378,0.48,0.728,2.6,2.1,0.7,0,12
0.429,0.277,0.458,0.752,5.1,5.5,1,0.2,9.5
0.4,0.375,0.427,0.729,1.7,1.1,0.8,0.2,3.9
0.304,0.204,0.395,0.745,1.2,0.5,0.7,0.1,3.4
0.374,0.305,0.407,0.867,2.4,1.9,0.4,0,10.1
0.416,0.354,0.478,0.825,2.5,1.2,0.6,0.2,11.9
0.437,0.331,0.457,0.848,3.4,2.6,0.6,0.3,12.1
0.491,0.159,0.511,0.741,6.7,2.6,0.9,1,12.7
0.413,0.401,0.426,0.708,2.8,1.2,0.8,0.4,8.8
0.41,0.342,0.458,0.672,3.6,2.2,1.3,0.3,8
0.477,0.437,0.515,0.901,2.1,1.8,0.5,0.1,16.4
0.417,0.383,0.462,0.75,3.1,2.8,1.2,0.3,12.1
0.396,0.327,0.448,0.901,1.9,2.5,0.9,0.2,15.8
0.44,0.375,0.48,0.868,5.7,7,1.9,0.7,27.4
0.353,0.258,0.528,0.552,1.4,0.4,0.3,0.1,3.4
0.468,0.385,0.537,0.716,3.1,1.8,1,0.2,7.2
0.422,0.39,0.504,0.813,1.6,1.9,0.9,0.2,7
0.416,0.342,0.475,0.891,2.3,0.9,0.4,0.1,6.3
0.462,0.378,0.484,0.834,5.8,3.3,1.8,0.6,20
0.416,0.349,0.46,0.906,1.7,1.3,1,0.1,11.1
0.435,0.359,0.472,0.801,4.8,3.7,0.7,0.2,14.4
0.387,0.321,0.444,0.822,1.2,0.8,0.7,0.2,4.3
0.396,0.287,0.454,0.752,3.2,1.2,0.7,1.1,7.9
0.426,0.364,0.467,0.6,3,1,0.7,0.4,5.2
0.401,0.345,0.449,0.696,3.1,1.3,1.1,0.2,12.7
0.427,0.393,0.442,0.881,3.6,2.3,0.8,0,20
0.373,0.345,0.394,0.7,1.8,2.2,0.7,0.2,5.7
0.463,0.439,0.481,0.879,3.2,2.9,1.1,0.8,21.7
0.373,0.293,0.401,0.813,5.7,5.6,1.3,0.2,22.3
0.487,0.492,0.47,0.898,4.1,2.6,0.7,0.6,12.1
0.376,0.171,0.425,0.627,4.5,3.9,0.6,0.1,8.2
0.474,0.384,0.511,0.784,1.4,1.5,0.6,0.1,7.1
0.404,0.34,0.464,0.861,1.9,2.1,1.1,0.1,15.5
0.426,0.345,0.489,0.721,3,4.2,1,0.3,10.5
0.423,0.374,0.471,0.848,2.5,1.5,0.5,0,9.2
0.406,0.378,0.426,0.821,1.8,0.8,0.6,0.1,7.9
0.362,0.266,0.404,0.825,2.3,0.8,0.7,0.3,4.6
0.362,0.407,0.307,0.763,1.9,3,0.4,0,4.8
0.445,0.285,0.487,0.752,2.4,4.1,1.9,0.3,18.9
0.421,0.256,0.456,0.533,1.8,2.5,1.1,0.1,4.2
0.366,0.369,0.363,0.892,2.3,1,0.5,0.3,13.4
0.365,0.322,0.408,0.859,1.2,0.9,0.3,0.2,4.4
0.422,0.357,0.465,0.827,2.6,2.8,0.8,0.3,11.4
0.323,0.301,0.358,0.861,2,0.5,0.5,0.3,5.6
0.368,0.357,0.388,0.818,1.7,2.4,0.7,0.2,8.7
0.414,0.365,0.456,0.763,2.3,1.7,0.6,0.2,8.7
0.403,0.296,0.475,0.763,2,1.4,0.7,0,4.6
0.489,0.392,0.503,0.717,4.1,1.2,0.5,0.2,13.5
0.389,0.342,0.435,0.801,2.2,1.8,0.3,0.2,11.5
0.495,0.345,0.505,0.627,4.4,1.4,2,0.5,8.6
0.419,0.375,0.437,0.681,2.5,1.3,1,0.3,5.9
0.447,0.304,0.482,0.694,5.3,6.6,1.3,0.5,16.6
0.436,0.339,0.464,0.819,4.2,4.1,1.7,0.3,17.9
0.333,0.297,0.379,0.789,2,1.2,0.7,0.2,5.8
0.412,0.37,0.439,0.813,3.2,1.6,0.5,0,10
0.448,0.389,0.534,0.752,3.7,2.3,1.3,0.2,15.9
0.425,0.271,0.474,0.787,2.8,1.4,0.8,0.3,6.8
0.386,0.347,0.411,0.824,1.5,1.3,0.5,0.1,5.9
0.41,0.405,0.412,0.752,3.5,2,0.6,0.1,13.3
0.459,0.393,0.506,0.867,2.7,1.2,0.8,0.2,10.3
0.496,0.311,0.608,0.611,3.6,0.7,0.8,0.6,4.8
0.408,0.387,0.442,0.744,0.9,0.4,0.3,0.1,5.6
0.443,0.382,0.469,0.84,3.7,2,0.4,0.1,12.8
0.438,0.335,0.495,0.681,1.9,1.5,0.7,0.1,8.9
0.447,0.361,0.505,0.78,2.9,2.1,1.5,0.3,15.2
0.429,0.362,0.474,0.718,2.2,1.2,0.8,0.1,7.8
0.449,0.387,0.481,0.767,3.4,2.9,1,0.2,17.4
0.415,0.342,0.461,0.852,3.9,5.1,1.2,0.4,19.6
0.427,0.414,0.447,0.643,2.5,0.8,0.3,0.3,4.2
0.448,0.417,0.463,0.827,3.2,4.3,1.2,0.3,20.8
0.439,0.273,0.478,0.764,2.6,3.1,0.8,0.3,8.5
0.454,0.378,0.493,0.839,2.6,1.7,1.1,0.4,9.6
0.376,0.332,0.448,0.739,3.8,1.8,1,0.8,7.2
0.397,0.38,0.407,0.725,1.2,0.7,0.2,0,4
0.446,0.338,0.458,0.85,4.5,4,1,0.3,23.5
0.423,0.343,0.464,0.84,2.5,2.6,0.6,0.3,13.8
0.399,0.358,0.421,0.713,2.6,2,1,0.2,9.8
