FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
0.538,0.5,0.306,0.547,0.759,1.7,7.2,3.2,0.9,1.3,15.2
0.481,0.1,0.4,0.482,0.655,1.5,8.4,1.7,0.7,1.3,16.6
0.507,0,0.333,0.509,0.702,2.1,6.6,0.5,0.5,1.5,6.3
0.55,0,,0.55,0.818,1.5,4.6,0.7,0.3,0.8,6.5
0.514,0,0,0.515,0.389,5.3,13.5,0.7,0.9,1.9,13.8
0.563,0,,0.563,0.524,2.1,8.1,2.7,0.6,1.7,6.3
0.566,0.1,0.25,0.57,0.865,1.6,4.5,0.5,0.2,0.3,6.6
0.543,0,,0.543,0.583,2.5,6.4,0.3,0.3,1.5,4.8
0.513,0.1,0.1,0.517,0.814,3,7.4,0.7,0.6,1.8,17.2
0.58,0.2,0.308,0.598,0.667,1.3,5,0.7,0.4,1,5.3
0.46,3.8,0.375,0.485,0.772,1,7,2.2,0.9,0.6,21.1
0.515,0,,0.515,0.706,2,6.5,0.9,0.2,0.7,8.6
0.461,0,1,0.46,0.774,1.6,5.8,1.6,0.5,0.8,7.6
0.478,0,,0.478,0.781,1.7,5.5,1.2,0.6,1.1,5.5
0.71,0,0.25,0.713,0.397,4.8,15,0.7,1,2.2,11.5
0.467,0.1,0.25,0.469,0.782,3.1,12.7,3.6,1.5,1.7,24.1
0.562,0,0,0.565,0.531,2,5,0.2,0.3,0.8,3.7
0.593,0,0.5,0.594,0.528,2.7,10.5,1.2,0.7,1.3,15.8
0.442,0,0,0.447,0.522,0.8,2.8,0.6,0.5,0.7,2.7
0.519,0.6,0.356,0.528,0.782,3.7,8.9,0.7,0.5,0.4,15.5
0.547,0,,0.547,0.628,1.3,3.4,0.2,0.2,0.9,4.4
0.506,0.1,0.167,0.51,0.783,3.1,8.3,2,1,1.7,9.7
0.628,0,,0.628,0.5,3,10,0.1,0.6,2.6,11.8
0.474,0.3,0.182,0.488,0.774,1.7,4.9,1.1,0.5,0.4,8
0.552,0,,0.552,0.304,1.7,5.8,0.5,0.5,0.8,4.3
0.475,0,0,0.477,0.577,2.1,6.2,0.8,0.5,0.5,7.6
0.434,0.5,0.357,0.44,0.83,1.2,4,1.7,0.4,0.5,8
0.445,0,0,0.447,0.603,3.3,9.6,4.7,0.7,1.1,7.2
0.49,0,,0.49,0.84,1.3,4,0.3,0.2,0.5,3.5
0.566,0,,0.566,0.569,1.9,4.7,0.9,0.4,2,7
0.572,0,0,0.573,0.786,2.7,8.7,0.5,0.4,1.2,12
0.459,0.2,0.273,0.462,0.738,2.5,7.9,1.5,0.5,0.7,12
0.478,0.8,0.323,0.51,0.83,1.4,3.3,0.9,0.7,0.7,5.3
0.446,0,0,0.449,0.636,2,6.2,0.8,0.8,1.1,6.9
0.475,2.7,0.349,0.538,0.684,1.4,4.7,1.7,1,0.6,10.3
0.449,0,0,0.451,0.506,1.3,4.7,0.8,0.2,0.6,3.6
0.513,0,0,0.516,0.707,1.1,3.6,0.7,0.1,0.7,6.6
0.508,0,,0.508,0.647,1.5,5.3,0.5,0.4,0.8,5.2
0.472,0,,0.472,0.702,2,5.1,1.2,0.2,0.7,5
0.494,0.2,0.176,0.5,0.795,1.4,7.8,3.8,0.9,1.6,17.4
0.566,0,0,0.569,0.703,2.2,8.7,1.2,0.6,1.3,12.2
0.492,0.2,0.278,0.498,0.843,1.4,4.3,0.9,0.3,0.4,10.4
0.573,0,0,0.576,0.495,2.1,6.2,0.9,0.8,0.8,8.7
0.51,2,0.42,0.586,0.938,0.8,4.5,0.6,0.2,0.3,5.9
0.535,0,,0.535,0.478,1.5,4.4,0.5,0.6,0.9,4
0.462,0,,0.462,0.609,2.5,8.1,1.7,1.8,1.9,9.9
0.424,0,,0.424,0.837,2.9,7.5,0.9,0.6,0.4,12.5
0.523,0.1,0.333,0.524,0.752,3.2,10.9,2,0.7,0.7,19.3
0.517,0,,0.517,0.582,3.2,9.8,0.9,0.4,0.7,7.3
0.365,2.7,0.301,0.455,0.715,0.9,3,0.8,0.3,0.2,5.7
0.412,0,0,0.413,0.671,1.3,3.5,0.8,0.4,0.6,4.6
0.535,0,0,0.537,0.772,3.2,6.7,0.9,0.3,1.4,9.6
0.446,0,0,0.448,0.824,2.1,7.1,1.1,0.2,1.6,10.6
0.604,0,0,0.607,0.623,3.2,9.5,1.3,0.8,2.3,8.4
0.438,0,,0.438,0.7,1.7,5.3,0.9,0.4,1.3,4
0.544,0,0,0.547,0.502,2.8,7.5,0.9,0.5,1.2,7.7
0.575,0,0,0.577,0.551,2.3,5.8,0.7,0.3,0.4,6
0.558,0,,0.558,0.75,1.8,4.8,1.5,0.7,0.7,8.2
0.512,0.1,0.286,0.514,0.74,2.2,9.1,3,0.8,2,13.9
0.555,0.1,0.333,0.557,0.718,2.5,7.3,0.7,0.4,1.2,9.7
0.549,0,,0.549,0.823,1.8,5.7,1.4,0.2,0.6,10.2
0.666,0,,0.666,0.72,3.9,11.5,1.1,0.6,1.2,10.3
0.454,0,0,0.456,0.788,2.7,6.8,2.4,1.1,0.3,8.3
0.505,3.1,0.344,0.557,0.798,1.8,7.3,3.2,0.8,1.5,15.2
0.485,0,,0.485,0.649,1.2,6.4,1.5,0.6,0.9,12
0.423,0.1,0.143,0.426,0.728,2.3,7.6,1.2,0.5,0.8,9
0.476,0,0,0.478,0.839,1.3,4.6,0.5,0.3,0.6,6
0.566,0,,0.566,0.746,1.3,4.3,0.5,0.3,0.8,5.8
0.421,0,0,0.427,0.762,0.8,2.9,0.6,0.4,0.2,2.6
0.521,0.1,0.333,0.522,0.355,4.9,14.8,0.8,1.5,1.4,16.2
0.455,0.3,0.188,0.471,0.825,0.6,2.1,0.4,0.1,0.2,6.6
0.627,0,1,0.626,0.48,1.7,7,2.3,0.5,1.6,5.4
0.493,1.8,0.324,0.511,0.758,2.1,10.3,1.9,1.3,2,24.3
0.505,0,0,0.508,0.764,1.7,4.7,0.6,0.3,0.6,6.3
0.542,0,0,0.544,0.628,2.2,8,0.4,0.2,1.6,5.5
0.511,0.2,0.143,0.515,0.787,2.8,7.8,2,0.8,1.7,20.6
0.582,0,0,0.583,0.379,2.5,6.4,0.6,0.8,1.2,7
0.529,0.1,0.1,0.539,0.754,1.9,6.2,1,0.8,0.9,8.7
0.596,0,,0.596,0.714,1.4,4.8,0.8,0.8,1.1,5.5
0.556,0.1,0,0.588,0.714,1,3.3,0.8,0.2,0.4,3.4
0.703,0,0,0.704,0.43,3.5,13.8,1.2,0.7,2.3,12.7
0.451,3.2,0.333,0.473,0.718,2.4,11.5,3.3,1.6,1.4,26.9
0.559,0,,0.559,0.75,1.2,3.9,0.2,0.4,0.8,4.4
0.62,0.1,0,0.626,0.489,3.4,11.8,1.4,1,1.6,13.7
0.576,0.3,0.476,0.579,0.797,3,8.1,0.4,0.3,0.4,12.7
0.548,0,,0.548,0.53,2,5.6,0.7,0.4,1.1,7
0.41,2.5,0.337,0.455,0.73,0.9,4.1,1.2,0.5,0.5,7.5
0.532,0.2,0.3,0.54,0.827,1.9,7.1,1.7,1.1,1.2,10.1
0.522,0,0,0.522,0.74,2.8,8.8,2.3,0.9,0.8,15.3
0.606,0,,0.606,0.65,3.3,11.8,0.4,0.6,3.7,14.2
0.589,0,,0.589,0.587,1.9,7.1,1.5,0.9,1.1,9.3
