FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
0.421,3.8,0.387,0.442,0.833,0.4,2,3.2,0.7,0.2,11.6
0.5,0.4,0.206,0.539,0.753,0.5,1.9,3.5,0.4,0.1,4.4
0.487,1.2,0.268,0.539,0.853,0.3,1.8,2.8,0.6,0.1,7.7
0.401,5.1,0.36,0.428,0.839,0.5,2.5,6.6,1.1,0.1,15.4
0.422,5.1,0.389,0.441,0.874,0.4,3.9,5.2,1.4,0.2,17
0.389,2.7,0.321,0.44,0.892,0.2,1.5,2.3,0.5,0.1,6.7
0.434,3.1,0.4,0.459,0.826,0.3,2.9,3.6,1,0.2,10
0.485,4.3,0.398,0.523,0.9,0.6,4.6,10.2,1.9,0.2,19.1
0.504,0.6,0.364,0.52,0.734,0.6,2.4,2.4,0.6,0.2,6.8
0.399,3,0.337,0.436,0.868,0.2,2,4.3,0.6,0,9.5
0.434,7,0.343,0.5,0.864,0.6,4.6,6.2,1.2,0.3,21
0.349,3.2,0.314,0.408,0.625,0.3,1.6,2.4,0.5,0.2,4.8
0.473,3.6,0.373,0.514,0.788,0.4,3.2,5.6,1.5,0.3,16.1
0.427,1.9,0.351,0.449,0.827,0.4,2.1,4.1,0.6,0.1,10
0.387,3.5,0.367,0.395,0.834,0.4,3.5,6.6,0.9,0.3,13
0.405,5.3,0.28,0.465,0.813,0.7,3.2,4.9,0.7,0.3,17.7
0.418,3.5,0.357,0.481,0.815,0.2,1.8,3.1,1,0.2,8.8
0.408,2.5,0.313,0.464,0.779,0.2,2.7,3.6,0.4,0,7.4
0.425,0.5,0.262,0.435,0.551,1.3,4.3,6.5,1.7,0.2,8.9
0.447,3.4,0.324,0.491,0.8,0.9,5.2,6.1,1.6,0.6,17
0.477,4.5,0.358,0.544,0.79,0.6,4.2,5.1,1,0.3,16.1
0.501,3.3,0.347,0.555,0.774,1,3.5,4.5,1,0.2,16.3
0.408,4.3,0.379,0.436,0.758,0.3,2.6,3.7,0.6,0.1,9.5
0.386,5.2,0.37,0.417,0.817,0.4,1.9,2.1,0.6,0.1,9.2
0.42,5.2,0.373,0.457,0.868,0.5,2.3,4.2,0.9,0.1,16.4
0.39,1.1,0.3,0.407,0.596,0.3,1.8,3.3,0.7,0.1,6.1
0.42,2.2,0.323,0.463,0.809,0.3,1.7,3.4,0.4,0,7.5
0.407,4.1,0.345,0.472,0.667,0.5,2.3,4,0.7,0.1,8.3
0.439,1.8,0.267,0.477,0.881,0.2,3.1,4.7,0.9,0.2,12
0.46,2.8,0.343,0.496,0.862,0.4,2.5,7,1.7,0.4,15.9
0.424,2.4,0.369,0.444,0.795,0.4,2.6,4.6,1.1,0.4,11.2
0.426,1.6,0.308,0.462,0.883,0.3,2.7,3,0.8,0.2,7.8
0.38,1,0.188,0.458,0.956,0.2,0.8,1.2,0.3,0,3.6
0.445,2.7,0.3,0.478,0.785,0.5,4.6,10,1.7,0.6,17.6
0.448,2.1,0.314,0.482,0.829,0.9,3.2,3.5,0.9,0.2,11.9
0.386,2.7,0.361,0.426,0.909,0.2,1.2,1.9,0.6,0.1,4.6
0.415,3.4,0.415,0.415,0.906,0.5,3,4.7,0.7,0,9.1
0.446,3.4,0.378,0.469,0.855,0.8,3.4,6.9,1.6,0.6,14.8
0.385,4.5,0.304,0.418,0.827,0.6,3.5,5.1,1.4,0.5,17.3
0.412,5.6,0.338,0.457,0.808,0.8,4.7,6.8,1.6,0.2,17.8
0.468,5,0.415,0.491,0.863,0.7,3.2,5.2,1.5,0.3,21.7
0.399,3.9,0.352,0.424,0.808,0.8,4.2,3.3,1.2,0.3,11.8
0.426,1.3,0.317,0.487,0.857,0.2,1.4,2,0.4,0.1,4
0.367,4.1,0.335,0.41,0.646,0.9,3.3,3.1,1.5,0.3,7.8
0.403,3.1,0.294,0.467,0.774,0.3,2.6,3.8,1.5,0.1,10.2
0.396,2.3,0.235,0.428,0.694,1,5.3,6.7,1.7,0.5,14.6
0.446,4,0.386,0.473,0.859,0.4,3,5.4,1.3,0.2,15.8
0.397,5.1,0.342,0.434,0.872,0.3,2.6,6.2,0.7,0.2,14.2
0.345,2.7,0.277,0.399,0.674,0.4,1.2,2.3,0.5,0.1,5.7
0.412,2.3,0.313,0.458,0.716,0.2,2.1,3.4,0.8,0.2,7.6
0.399,2.5,0.343,0.548,0.854,0.4,1.8,2.6,1.2,0,4.1
0.383,5.8,0.356,0.426,0.75,1.2,4.2,3.4,1.1,0.4,10.1
0.381,3.6,0.341,0.429,0.825,0.4,1.5,1.7,0.5,0,6.9
0.368,1.3,0.246,0.44,0.673,0.3,1.6,2.3,0.6,0.1,3.5
0.426,1.3,0.314,0.444,0.397,1.1,5.5,7.9,1.3,0.1,8.9
0.374,0.9,0.317,0.387,0.769,0.4,2.3,2.8,0.5,0,6.3
0.438,1.6,0.306,0.479,0.679,0.8,2.6,2.8,0.7,0.2,7.4
0.434,3.1,0.299,0.477,0.83,0.7,4.2,6,0.8,0.1,14.5
0.44,2,0.39,0.452,0.819,0.5,3.5,3.1,0.8,0.1,12.6
0.345,2.5,0.284,0.404,0.8,0.4,1.6,3.8,1.6,0.1,5.1
0.426,4.3,0.299,0.457,0.835,1.9,7.3,8.6,2.1,0.2,28.1
0.382,2.3,0.364,0.4,0.786,0.3,2.2,2.5,0.8,0.1,5.1
0.433,1.5,0.302,0.481,0.782,0.4,2.3,3,1.2,0.1,6.2
0.5,0,0,0.503,0.714,0.6,2.3,3.3,0.6,0.3,5.9
0.401,2.3,0.315,0.467,0.806,0.1,1.4,2.8,0.5,0,5.4
0.302,1.9,0.185,0.375,0.912,0.1,1.4,3.1,0.6,0.2,4.3
0.487,8.1,0.443,0.528,0.914,0.7,4.3,7.7,2,0.2,23.8
0.373,2.7,0.352,0.417,0.707,0.2,1.7,3.6,0.5,0.1,4.3
0.486,1.3,0.427,0.493,0.783,0.2,1.9,4.9,0.6,0,14.4
0.403,4.7,0.261,0.473,0.667,0.7,2.9,5.2,1.6,0.3,16.9
0.368,5.1,0.318,0.4,0.752,0.4,2.7,4.3,0.9,0.2,12.8
0.436,2.7,0.341,0.463,0.73,0.6,3.1,9.6,1.2,0.1,15.2
0.361,1.3,0.279,0.396,0.714,0.2,1.1,2.2,0.5,0.2,3.7
0.422,2.2,0.341,0.449,0.842,0.4,2.8,3.6,0.7,0.1,10.1
0.401,2.7,0.357,0.43,0.766,0.3,1.5,2.6,0.4,0.1,7.1
0.557,0.2,0.25,0.582,0.75,0.3,1.3,2.2,0.4,0,3.7
0.417,1.7,0.232,0.474,0.674,0.5,2.5,2.1,0.5,0.2,8.9
0.434,1,0.341,0.461,0.9,0.2,1.6,2.6,0.3,0,4.7
0.368,3.2,0.329,0.409,0.731,0.3,2,3.5,0.6,0.1,6.9
0.443,0.9,0.333,0.477,0.919,0.1,1,1.3,0.2,0,4.8
0.343,1.5,0.292,0.371,0.872,0.3,2,2.7,0.6,0.2,4.3
0.41,1.9,0.324,0.467,0.792,0.2,1.5,1.9,0.6,0.1,5
0.462,4.4,0.371,0.501,0.896,0.5,4.2,10,2.1,0.2,19.5
0.423,2.7,0.405,0.44,0.805,0.1,1.5,3.2,0.6,0.1,7.5
0.41,4.6,0.351,0.447,0.737,0.6,3.4,3.3,1.2,0.2,13.2
0.419,8.1,0.375,0.45,0.892,0.6,4,6.8,0.9,0.4,25.1
0.486,2.9,0.401,0.519,0.858,0.4,2.3,4.3,1,0.1,14
0.421,3,0.322,0.465,0.791,0.3,2.6,4.4,0.9,0.1,11
0.414,4.3,0.344,0.454,0.869,0.3,2.9,5.8,0.9,0.2,14.1
0.427,2.3,0.293,0.449,0.793,0.7,3.4,4.7,0.7,0.2,16.4
0.447,2.5,0.329,0.532,0.721,0.3,2.2,1.8,0.9,0.2,7.6
0.44,1.6,0.384,0.462,0.75,0.3,2.8,4.4,0.5,0.1,7
0.436,1.3,0.326,0.451,0.589,1.1,3.6,6.4,1.2,0.3,10.7
0.364,3.4,0.319,0.379,0.67,0.5,3.4,5.5,1,0.5,12.8
0.453,4.2,0.372,0.482,0.802,0.6,4,6.1,2,0.6,20.4
0.441,4.2,0.408,0.466,0.76,0.8,4,3.5,1.1,0.2,12.1
0.506,1.4,0.257,0.537,0.724,1.4,7.7,4.3,1.2,1.4,16.9
