FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
0.412,1.7,0.274,0.485,0.712,1.5,4.6,0.8,0.9,0.8,5.6
0.468,0.6,0.371,0.49,0.701,0.7,1.7,0.5,0.6,0.1,4.5
0.466,2.8,0.349,0.553,0.596,0.6,3.3,3,1.2,0.3,7.8
0.437,1.5,0.31,0.453,0.76,1.6,4.6,2.1,1,0.6,16.9
0.355,2.1,0.338,0.371,0.833,0.3,2.2,0.5,0.4,0.1,3.8
0.453,3.3,0.355,0.531,0.821,0.6,2.7,0.9,0.4,0.1,9
0.444,4.5,0.341,0.474,0.797,1.8,6.6,3.1,1,0.4,24.2
0.407,2.8,0.379,0.441,0.902,0.3,2.5,1,0.6,0.1,5.9
0.462,5.3,0.38,0.521,0.72,1,4.9,2.4,1,0.3,15.7
0.433,2.1,0.364,0.474,0.827,0.5,3,1,0.7,0.1,6.8
0.361,3.3,0.311,0.42,0.733,0.5,2.2,1,0.2,0.2,6.2
0.355,2.2,0.262,0.415,0.75,0.6,2.5,0.9,0.6,0.3,5.4
0.426,2.9,0.268,0.491,0.743,1,3.7,2.2,1.4,0.2,11.5
0.452,2.5,0.406,0.538,0.696,0.1,0.7,0.8,0.2,0.1,4.8
0.401,5.1,0.355,0.453,0.895,0.5,3.7,1.4,0.8,0.3,12.4
0.401,2.8,0.357,0.449,0.757,0.7,2.7,0.6,0.4,0.2,6.3
0.487,4.3,0.395,0.567,0.702,1.4,5.3,1.7,1.3,0.2,12.6
0.379,2.3,0.38,0.378,0.81,0.3,2.3,0.9,0.4,0.2,4.6
0.445,4.3,0.364,0.481,0.812,0.7,4.9,4.1,1.4,0.4,19.3
0.482,2.6,0.405,0.519,0.72,1.4,5.5,1.4,0.7,0.2,10.1
0.441,2.2,0.432,0.469,0.545,0.1,1.6,0.6,0.3,0.1,3.7
0.42,2.5,0.293,0.499,0.773,0.9,3.6,1.1,0.9,0.3,7.7
0.422,1.7,0.244,0.525,0.67,0.5,2.2,1,0.5,0.4,5.2
0.409,1.5,0.326,0.461,0.84,0.8,2.8,0.8,0.4,0.3,5
0.368,3.1,0.36,0.423,0.848,0.2,1.1,0.4,0.2,0.1,4.4
0.43,3.7,0.332,0.473,0.833,0.8,4.2,1.7,0.7,0.4,15
0.352,2.4,0.314,0.383,0.591,0.8,3,1.2,0.6,1,6.3
0.415,2.6,0.356,0.493,0.75,0.3,2.2,2.3,0.9,0.1,5
0.479,3,0.349,0.519,0.802,1.3,7.2,2.5,2.3,0.8,16.5
0.467,3.4,0.407,0.494,0.859,0.6,4.4,2.3,1.5,0.1,13.4
0.35,2.5,0.292,0.418,0.722,0.9,2.7,2,0.7,0.3,4.2
0.348,0.3,0.273,0.359,0.643,0.2,2.2,0.8,0.5,0.2,2.2
0.386,3,0.398,0.371,0.769,0.4,2.4,1.1,0.6,0.3,6
0.488,4.9,0.354,0.536,0.71,0.7,6,7.4,1.6,0.7,25.3
0.479,1.8,0.513,0.429,0.684,0.2,1.8,0.4,0.3,0.2,4.1
0.469,3.1,0.355,0.513,0.761,1.4,5.2,1.9,0.9,0.3,14
0.264,1.3,0.233,0.292,0.75,0.3,1.4,0.5,0.2,0,3.3
0.444,4.9,0.362,0.569,0.779,0.7,4,1.5,0.9,0.7,10.1
0.399,1.2,0.179,0.52,0.537,0.8,2.4,0.6,0.7,0.2,3.5
0.465,0,,0.465,0.701,2,7.6,1.4,0.5,0.7,10.9
0.435,4.2,0.407,0.468,0.805,0.4,3.9,1.8,0.6,0.3,9.4
0.325,1.9,0.327,0.313,0.75,0.1,1.8,0.9,0.3,0.1,2.1
0.4,4.4,0.324,0.481,0.857,0.9,5.9,4.8,1.1,0.6,9.4
0.489,1.3,0.402,0.512,0.733,0.8,3.9,1.5,0.5,0.1,8.9
0.45,1.4,0.337,0.491,0.734,0.9,3,0.9,0.6,0.4,6
0.438,3.2,0.345,0.506,0.727,1.5,6.4,1.6,1.4,0.3,9.1
0.447,4.2,0.389,0.496,0.781,0.6,4,2,0.6,0.3,11.9
0.397,1.4,0.233,0.476,0.649,0.1,1.8,0.4,0.4,0.2,4.3
0.421,3.3,0.373,0.478,0.74,0.7,2.6,1.3,0.3,0.3,7.2
0.422,3.1,0.387,0.45,0.791,0.4,2.6,0.8,0.4,0.3,7.7
0.444,2.1,0.426,0.462,0.684,0.3,2.5,0.8,0.4,0.1,5.8
0.459,1.1,0.314,0.521,0.828,0.7,3,0.6,0.4,0.2,4.4
0.396,6.4,0.374,0.426,0.82,0.9,4.5,1.5,1.4,0.4,13.5
0.455,3.2,0.359,0.479,0.858,1.4,5.9,3.7,1,0.6,21.1
0.446,0.8,0.261,0.484,0.765,1.1,3.5,0.9,0.5,0.5,4.8
0.403,2.8,0.36,0.467,0.875,0.6,2.6,0.7,0.4,0.3,5.4
0.396,2.5,0.327,0.43,0.824,0.9,3.8,2.2,0.8,0.2,8.9
0.528,0.5,0.238,0.56,0.737,1,2.1,0.6,0.5,0.2,6.1
0.44,1.2,0.463,0.436,0.754,0.9,3.6,1.6,0.5,0.3,7.5
0.41,4.8,0.372,0.452,0.786,0.4,2.8,1,0.6,0.3,9.8
0.418,1.5,0.321,0.462,0.776,1,4.3,1.4,1,0.4,5.3
0.466,3.5,0.364,0.5,0.788,1.1,6.3,1.8,1,0.5,17.1
0.429,2.7,0.371,0.494,0.8,0.4,2.4,0.9,0.4,0.2,6
0.402,0.6,0.367,0.408,0.769,0.6,2.1,0.8,0.3,0.2,3.9
0.402,6.8,0.35,0.485,0.853,0.9,5.6,2.5,1.9,0.2,12.8
0.414,3.4,0.351,0.451,0.804,0.9,4.2,1.6,0.8,0.6,9.9
0.429,5.2,0.342,0.49,0.775,1.2,6.1,1.7,0.7,0.4,13.9
0.416,4.3,0.361,0.468,0.737,1.2,6.1,1.7,0.9,0.6,10.2
0.518,0.8,0.283,0.59,0.667,0.8,3.4,1,0.9,0.2,4.5
0.478,2.4,0.351,0.57,0.614,0.8,4,3.4,1.1,0.3,7
0.459,2.3,0.3,0.486,0.761,1.3,3.6,2,1,0.6,20.7
0.433,4.3,0.382,0.474,0.833,0.5,3.2,1.3,0.4,0.1,11.2
0.409,6,0.367,0.474,0.75,0.4,2.7,1,0.8,0.5,11.8
0.434,4.3,0.339,0.463,0.829,1.4,7.7,4.2,0.9,0.5,21.8
0.492,4.1,0.414,0.54,0.684,0.5,4.7,2.8,0.8,0.3,13.7
0.435,1.3,0.279,0.523,0.696,0.7,2.3,1,0.5,0.2,4.1
0.371,1.4,0.273,0.474,0.81,0.4,1.9,0.6,0.5,0.3,2.9
0.384,2.7,0.272,0.46,0.75,0.5,2.4,1.3,1,0.2,7.2
0.41,4.5,0.364,0.434,0.868,1,5.3,2.5,0.8,0.4,19.5
0.451,2.2,0.316,0.55,0.695,0.7,3,1,0.5,0.4,6.1
0.45,1.9,0.293,0.506,0.758,0.6,3.7,0.9,0.4,0.1,9.3
0.452,3.2,0.425,0.47,0.857,0.5,2.4,0.7,0.2,0.1,9.4
0.462,4.9,0.4,0.506,0.836,0.4,2.8,2.7,1.2,0,15.4
0.398,3.2,0.345,0.453,0.728,0.5,2.7,1.8,0.9,0.2,7.3
0.43,0.8,0.378,0.447,0.692,0.3,1.5,0.6,0.4,0.2,3.8
0.433,5.1,0.349,0.477,0.824,0.8,5,3.7,1.2,0.3,19.7
0.466,3.2,0.383,0.508,0.761,1.2,4.9,1.8,0.6,0.2,11.7
0.443,5,0.336,0.529,0.82,1,5.1,1.8,1.7,0.5,14.2
0.442,0.9,0.222,0.496,0.656,0.6,2.6,0.6,0.3,0.5,5.1
0.43,2.7,0.315,0.47,0.745,0.9,4.2,1.7,0.7,0.5,11.7
0.426,2.6,0.386,0.531,0.722,0.2,1.9,1.2,0.7,0,4.2
0.439,3.9,0.383,0.471,0.831,0.6,3.6,3.9,0.8,0,12.2
0.406,1.5,0.265,0.533,0.8,0.3,2.4,0.5,0.3,0.5,3.8
0.422,1.5,0.276,0.471,0.684,1,5.2,1.5,0.9,0.3,6.4
0.506,4,0.443,0.528,0.874,1.3,6.8,2.6,1.8,1,21.2
0.427,1.3,0.316,0.492,0.633,0.4,2.1,0.2,0.3,0.1,3.7
0.441,4.1,0.357,0.502,0.815,0.4,5.1,2.3,1.3,0.5,11.6
0.505,6.7,0.387,0.569,0.898,0.6,8.2,5,1,1.2,28.2
0.358,7.1,0.285,0.41,0.826,0.6,3.7,2.8,0.9,0.2,17.6
0.468,0.5,0.324,0.488,0.747,0.3,3.1,1.6,0.8,0.4,4.5
0.389,1.4,0.309,0.452,0.659,0.7,2.1,0.4,0.4,0.1,3.4
0.481,1.1,0.385,0.5,0.784,0.6,3.2,1.9,0.6,0.1,8.3
0.52,3.7,0.309,0.573,0.731,1.5,7.4,6.8,1.4,0.6,25.3
0.422,2.3,0.404,0.433,0.78,0.5,3.1,1.1,0.2,0.1,7
0.434,3.7,0.362,0.467,0.749,1.1,5.1,2.5,0.8,0.3,14.1
0.433,2.4,0.349,0.504,0.907,0.4,2.2,1.4,0.5,0.2,6.1
0.381,4.9,0.322,0.449,0.804,1.1,5.5,2.1,1,0.8,10
0.474,1.8,0.279,0.576,0.622,1.3,3.6,0.9,0.6,0.4,6.4
0.311,2.4,0.31,0.312,0.702,0.5,2.5,0.8,0.6,0.3,5
0.41,3.2,0.394,0.427,0.784,0.3,2.7,1.3,0.5,0.3,7.2
0.426,5.7,0.348,0.492,0.849,0.8,6.1,5.8,0.9,0.6,14.9
0.473,3.6,0.367,0.536,0.754,1.3,5.2,1.6,1.4,0.4,11.6
0.355,3.7,0.29,0.449,0.781,0.4,2.6,0.6,0.5,0.2,6.2
0.411,2.5,0.33,0.455,0.746,2,6.2,2.2,1.3,0.2,8
0.418,7,0.371,0.447,0.86,1,7,4.1,1.9,0.4,23.1
0.363,3.6,0.31,0.445,0.818,0.2,2.7,1,0.5,0.3,6.1
0.439,1.4,0.415,0.467,0.933,0.4,1.8,0.7,0.3,0.1,3.3
0.458,2.3,0.382,0.554,0.667,0.2,1.7,0.8,0.4,0.2,5.5
0.385,7.2,0.353,0.452,0.791,1,6.3,1.4,1.6,0.6,12.8
0.463,3.1,0.344,0.495,0.78,1.5,6.5,1.7,1.4,0.7,17.2
0.405,0.9,0.297,0.514,0.929,0.2,1.5,0.9,0.2,0.1,2.4
0.465,1.9,0.289,0.516,0.764,1.2,3.3,0.6,0.3,0.1,10.5
0.447,1.3,0.324,0.515,0.857,0.7,2.8,1,0.6,0.2,4.2
0.375,2.8,0.307,0.41,0.784,0.8,4.2,1.6,0.8,0.2,8.1
0.501,1.5,0.4,0.52,0.703,1.2,3.1,0.9,0.8,0.3,11
0.445,0.3,0.174,0.476,0.684,0.4,1.9,0.9,0.5,0.2,2.9
0.431,4.6,0.386,0.484,0.79,0.3,2.5,0.8,0.7,0.3,9.9
0.505,1.7,0.339,0.589,0.626,0.7,4.5,1.4,1.1,0.5,6.4
0.372,2.4,0.361,0.38,0.909,0.3,3.1,1,0.3,0.3,5.3
0.416,6.2,0.371,0.478,0.783,0.8,4.5,2.3,2,0.3,12.7
0.404,3.9,0.333,0.51,0.652,0.5,3.1,0.6,1.1,0.7,6.9
0.388,6.7,0.36,0.432,0.863,0.3,3.1,1.9,1,0.2,12.5
0.454,3.3,0.288,0.528,0.719,1.5,5.1,1.9,0.8,0.5,12.7
0.375,1.5,0.318,0.444,0.75,0.1,0.8,0.4,0.1,0,2.9
0.528,2.3,0.362,0.651,0.706,0.7,4,3.4,1,0.5,7.6
0.464,2.3,0.245,0.609,0.423,1.2,5.1,1,1.2,1,6.6
0.452,3.5,0.356,0.473,0.76,1.2,4,2.3,1,0.4,23.6
0.445,4.8,0.367,0.512,0.893,0.5,3.4,1.4,0.4,0.1,13.7
