,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
0,Al Horford\horfoal01,0.5379999999999999,0.5,0.306,0.547,0.759,1.7,7.2,3.2,0.9,1.3,15.2,82
1,Al Jefferson\jeffeal01,0.48100000000000004,0.1,0.4,0.48200000000000004,0.655,1.5,8.4,1.7,0.7,1.3,16.6,82
2,Alex Len\lenal01,0.507,0.0,0.33299999999999996,0.509,0.7020000000000001,2.1,6.6,0.5,0.5,1.5,6.3,85
4,Andre Drummond\drumman01,0.514,0.0,0.0,0.515,0.389,5.3,13.5,0.7,0.9,1.9,13.8,83
6,Aron Baynes\baynear01,0.5660000000000001,0.1,0.25,0.57,0.865,1.6,4.5,0.5,0.2,0.3,6.6,82
8,Brook Lopez\lopezbr01,0.513,0.1,0.1,0.517,0.8140000000000001,3.0,7.4,0.7,0.6,1.8,17.2,84
9,Chris Andersen\anderch01,0.58,0.2,0.308,0.598,0.667,1.3,5.0,0.7,0.4,1.0,5.3,82
10,Chris Bosh\boshch01,0.46,3.8,0.375,0.485,0.772,1.0,7.0,2.2,0.9,0.6,21.1,83
12,Cody Zeller\zelleco01,0.461,0.0,1.0,0.46,0.774,1.6,5.8,1.6,0.5,0.8,7.6,84
14,DeAndre Jordan\jordade01,0.71,0.0,0.25,0.713,0.397,4.8,15.0,0.7,1.0,2.2,11.5,83
15,DeMarcus Cousins\couside01,0.467,0.1,0.25,0.469,0.782,3.1,12.7,3.6,1.5,1.7,24.1,83
16,Dewayne Dedmon\dedmode01,0.562,0.0,0.0,0.565,0.531,2.0,5.0,0.2,0.3,0.8,3.7,84
17,Dwight Howard\howardw01,0.593,0.0,0.5,0.594,0.528,2.7,10.5,1.2,0.7,1.3,15.8,83
18,Elton Brand\brandel01,0.442,0.0,0.0,0.447,0.522,0.8,2.8,0.6,0.5,0.7,2.7,80
19,Enes Kanter\kanteen01,0.519,0.6,0.35600000000000004,0.528,0.782,3.7,8.9,0.7,0.5,0.4,15.5,83
21,Gorgui Dieng\dienggo01,0.506,0.1,0.16699999999999998,0.51,0.7829999999999999,3.1,8.3,2.0,1.0,1.7,9.7,83
23,Henry Sims\simshe01,0.474,0.3,0.182,0.488,0.774,1.7,4.9,1.1,0.5,0.4,8.0,82
25,J.J. Hickson\hicksjj01,0.475,0.0,0.0,0.47700000000000004,0.5770000000000001,2.1,6.2,0.8,0.5,0.5,7.6,81
26,Jason Smith\smithja02,0.434,0.5,0.35700000000000004,0.44,0.83,1.2,4.0,1.7,0.4,0.5,8.0,84
27,Joakim Noah\noahjo01,0.445,0.0,0.0,0.447,0.603,3.3,9.6,4.7,0.7,1.1,7.2,83
30,Jonas Valanciunas\valanjo01,0.5720000000000001,0.0,0.0,0.573,0.7859999999999999,2.7,8.7,0.5,0.4,1.2,12.0,84
31,Jordan Hill\hilljo01,0.45899999999999996,0.2,0.273,0.462,0.738,2.5,7.9,1.5,0.5,0.7,12.0,82
32,Justin Hamilton\hamilju01,0.478,0.8,0.32299999999999995,0.51,0.83,1.4,3.3,0.9,0.7,0.7,5.3,84
33,Jusuf Nurkic\nurkiju01,0.446,0.0,0.0,0.449,0.636,2.0,6.2,0.8,0.8,1.1,6.9,84
34,Kelly Olynyk\olynyke01,0.475,2.7,0.349,0.5379999999999999,0.684,1.4,4.7,1.7,1.0,0.6,10.3,84
35,Kendrick Perkins\perkike01,0.449,0.0,0.0,0.451,0.506,1.3,4.7,0.8,0.2,0.6,3.6,82
36,Kevin Seraphin\serapke01,0.513,0.0,0.0,0.516,0.7070000000000001,1.1,3.6,0.7,0.1,0.7,6.6,81
39,Marc Gasol\gasolma01,0.494,0.2,0.17600000000000002,0.5,0.795,1.4,7.8,3.8,0.9,1.6,17.4,85
40,Marcin Gortat\gortama01,0.5660000000000001,0.0,0.0,0.569,0.703,2.2,8.7,1.2,0.6,1.3,12.2,83
41,Marreese Speights\speigma01,0.49200000000000005,0.2,0.278,0.498,0.843,1.4,4.3,0.9,0.3,0.4,10.4,82
