,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
0,Aaron Gordon\gordoaa01,0.447,1.0,0.271,0.5,0.721,1.0,3.6,0.7,0.4,0.5,5.2,81
1,Adreian Payne\paynead01,0.414,0.3,0.111,0.42700000000000005,0.652,1.5,5.1,0.9,0.6,0.3,6.7,82
2,Amar'e Stoudemire\stoudam01,0.557,0.1,0.0,0.562,0.72,1.9,5.6,0.8,0.5,0.6,11.5,82
3,Amir Johnson\johnsam01,0.574,0.6,0.413,0.59,0.612,2.1,6.1,1.6,0.6,0.8,9.3,81
4,Andrew Nicholson\nichoan01,0.43700000000000006,1.0,0.317,0.47,0.6,0.4,2.1,0.6,0.2,0.3,4.9,81
5,Anthony Bennett\bennean01,0.42100000000000004,0.4,0.304,0.431,0.6409999999999999,0.9,3.8,0.8,0.5,0.3,5.2,80
6,Anthony Davis\davisan02,0.535,0.2,0.083,0.54,0.805,2.5,10.2,2.2,1.5,2.9,24.4,82
7,Anthony Tolliver\tollian01,0.41,3.8,0.366,0.534,0.7829999999999999,0.7,3.1,0.8,0.3,0.2,6.3,80
8,Blake Griffin\griffbl01,0.502,0.4,0.4,0.504,0.728,1.9,7.6,5.3,0.9,0.5,21.9,82
9,Boris Diaw\diawbo01,0.46,2.1,0.32,0.512,0.774,1.0,4.3,2.9,0.4,0.3,8.7,80
10,Brandan Wright\wrighbr03,0.642,0.0,0.0,0.647,0.696,1.7,4.3,0.5,0.7,1.3,7.3,82
11,Brandon Bass\bassbr01,0.504,0.4,0.281,0.515,0.79,1.7,4.9,1.3,0.5,0.4,10.6,80
14,Channing Frye\fryech01,0.392,4.6,0.39299999999999996,0.39,0.8859999999999999,0.4,3.9,1.3,0.6,0.5,7.3,84
15,Charlie Villanueva\villach01,0.414,3.5,0.376,0.475,0.5710000000000001,0.5,2.3,0.3,0.2,0.3,6.3,83
16,Cory Jefferson\jeffeco01,0.449,0.3,0.133,0.48,0.574,0.9,2.9,0.3,0.2,0.4,3.7,81
17,Dante Cunningham\cunnida01,0.457,0.2,0.1,0.46799999999999997,0.617,1.1,3.9,0.8,0.7,0.6,5.2,80
18,Darrell Arthur\arthuda01,0.40399999999999997,1.9,0.23600000000000002,0.47100000000000003,0.78,0.9,2.9,1.0,0.8,0.4,6.6,81
19,David Lee\leeda02,0.511,0.0,0.0,0.514,0.654,1.7,5.2,1.7,0.6,0.5,7.9,81
