,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
0,Aaron Brooks\brookaa01,0.42100000000000004,3.8,0.387,0.442,0.833,0.4,2.0,3.2,0.7,0.2,11.6,72
1,Andre Miller\millean02,0.5,0.4,0.20600000000000002,0.539,0.753,0.5,1.9,3.5,0.4,0.1,4.4,75
2,Beno Udrih\udrihbe01,0.48700000000000004,1.2,0.268,0.539,0.853,0.3,1.8,2.8,0.6,0.1,7.7,75
3,Brandon Jennings\jennibr01,0.401,5.1,0.36,0.428,0.8390000000000001,0.5,2.5,6.6,1.1,0.1,15.4,73
4,Brandon Knight\knighbr03,0.42200000000000004,5.1,0.389,0.441,0.8740000000000001,0.4,3.9,5.2,1.4,0.2,17.0,75
5,Brian Roberts\roberbr01,0.389,2.7,0.321,0.44,0.892,0.2,1.5,2.3,0.5,0.1,6.7,73
6,C.J. Watson\watsocj01,0.434,3.1,0.4,0.45899999999999996,0.826,0.3,2.9,3.6,1.0,0.2,10.0,74
7,Chris Paul\paulch01,0.485,4.3,0.39799999999999996,0.523,0.9,0.6,4.6,10.2,1.9,0.2,19.1,72
8,Cory Joseph\josepco01,0.504,0.6,0.364,0.52,0.7340000000000001,0.6,2.4,2.4,0.6,0.2,6.8,75
9,D.J. Augustin\augusdj01,0.39899999999999997,3.0,0.337,0.436,0.868,0.2,2.0,4.3,0.6,0.0,9.5,72
10,Damian Lillard\lillada01,0.434,7.0,0.34299999999999997,0.5,0.8640000000000001,0.6,4.6,6.2,1.2,0.3,21.0,75
11,Dante Exum\exumda01,0.349,3.2,0.314,0.408,0.625,0.3,1.6,2.4,0.5,0.2,4.8,78
12,Darren Collison\collida01,0.473,3.6,0.373,0.514,0.7879999999999999,0.4,3.2,5.6,1.5,0.3,16.1,72
13,Dennis Schroder\schrode01,0.42700000000000005,1.9,0.35100000000000003,0.449,0.8270000000000001,0.4,2.1,4.1,0.6,0.1,10.0,73
14,Deron Williams\willide01,0.387,3.5,0.36700000000000005,0.395,0.8340000000000001,0.4,3.5,6.6,0.9,0.3,13.0,75
15,Derrick Rose\rosede01,0.405,5.3,0.28,0.465,0.813,0.7,3.2,4.9,0.7,0.3,17.7,75
16,Devin Harris\harride01,0.418,3.5,0.35700000000000004,0.48100000000000004,0.815,0.2,1.8,3.1,1.0,0.2,8.8,75
17,Donald Sloan\sloando01,0.408,2.5,0.313,0.46399999999999997,0.779,0.2,2.7,3.6,0.4,0.0,7.4,75
18,Elfrid Payton\paytoel01,0.425,0.5,0.262,0.435,0.551,1.3,4.3,6.5,1.7,0.2,8.9,76
19,Eric Bledsoe\bledser01,0.447,3.4,0.324,0.491,0.8,0.9,5.2,6.1,1.6,0.6,17.0,73
20,George Hill\hillge01,0.47700000000000004,4.5,0.358,0.544,0.79,0.6,4.2,5.1,1.0,0.3,16.1,75
21,Goran Dragic\dragigo01,0.501,3.3,0.34700000000000003,0.555,0.774,1.0,3.5,4.5,1.0,0.2,16.3,75
22,Greivis Vasquez\vasqugr01,0.408,4.3,0.379,0.436,0.758,0.3,2.6,3.7,0.6,0.1,9.5,78
23,Isaiah Canaan\canaais01,0.386,5.2,0.37,0.41700000000000004,0.8170000000000001,0.4,1.9,2.1,0.6,0.1,9.2,72
24,Isaiah Thomas\thomais02,0.42,5.2,0.373,0.457,0.868,0.5,2.3,4.2,0.9,0.1,16.4,69
25,Ish Smith\smithis01,0.39,1.1,0.3,0.40700000000000003,0.596,0.3,1.8,3.3,0.7,0.1,6.1,72
26,J.J. Barea\bareajo01,0.42,2.2,0.32299999999999995,0.46299999999999997,0.809,0.3,1.7,3.4,0.4,0.0,7.5,72
27,Jameer Nelson\nelsoja01,0.40700000000000003,4.1,0.345,0.47200000000000003,0.667,0.5,2.3,4.0,0.7,0.1,8.3,72
28,Jarrett Jack\jackja01,0.439,1.8,0.267,0.47700000000000004,0.8809999999999999,0.2,3.1,4.7,0.9,0.2,12.0,75
29,Jeff Teague\teaguje01,0.46,2.8,0.34299999999999997,0.496,0.862,0.4,2.5,7.0,1.7,0.4,15.9,74
30,Jeremy Lin\linje01,0.424,2.4,0.369,0.444,0.795,0.4,2.6,4.6,1.1,0.4,11.2,75
31,Jerryd Bayless\bayleje01,0.426,1.6,0.308,0.462,0.883,0.3,2.7,3.0,0.8,0.2,7.8,75
32,Jimmer Fredette\fredeji01,0.38,1.0,0.188,0.45799999999999996,0.956,0.2,0.8,1.2,0.3,0.0,3.6,74
