,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
0,Al-Farouq Aminu\aminual01,0.41200000000000003,1.7,0.27399999999999997,0.485,0.7120000000000001,1.5,4.6,0.8,0.9,0.8,5.6,81
1,Alonzo Gee\geeal01,0.46799999999999997,0.6,0.371,0.49,0.701,0.7,1.7,0.5,0.6,0.1,4.5,78
2,Andre Iguodala\iguodan01,0.466,2.8,0.349,0.5529999999999999,0.596,0.6,3.3,3.0,1.2,0.3,7.8,78
3,Andrew Wiggins\wiggian01,0.43700000000000006,1.5,0.31,0.45299999999999996,0.76,1.6,4.6,2.1,1.0,0.6,16.9,80
4,Austin Daye\dayeau01,0.355,2.1,0.33799999999999997,0.371,0.833,0.3,2.2,0.5,0.4,0.1,3.8,83
5,Bojan Bogdanovic\bogdabo02,0.45299999999999996,3.3,0.355,0.531,0.821,0.6,2.7,0.9,0.4,0.1,9.0,80
6,Carmelo Anthony\anthoca01,0.444,4.5,0.341,0.474,0.797,1.8,6.6,3.1,1.0,0.4,24.2,80
7,Caron Butler\butleca01,0.40700000000000003,2.8,0.379,0.441,0.902,0.3,2.5,1.0,0.6,0.1,5.9,79
8,Chandler Parsons\parsoch01,0.462,5.3,0.38,0.521,0.72,1.0,4.9,2.4,1.0,0.3,15.7,82
9,Chase Budinger\budinch01,0.433,2.1,0.364,0.474,0.8270000000000001,0.5,3.0,1.0,0.7,0.1,6.8,79
10,Chris Copeland\copelch01,0.361,3.3,0.311,0.42,0.733,0.5,2.2,1.0,0.2,0.2,6.2,81
11,Cleanthony Early\earlycl01,0.355,2.2,0.262,0.415,0.75,0.6,2.5,0.9,0.6,0.3,5.4,80
12,Corey Brewer\breweco01,0.426,2.9,0.268,0.491,0.743,1.0,3.7,2.2,1.4,0.2,11.5,81
13,Damjan Rudez\rudezda01,0.452,2.5,0.406,0.5379999999999999,0.696,0.1,0.7,0.8,0.2,0.1,4.8,82
14,Danilo Gallinari\gallida01,0.401,5.1,0.355,0.45299999999999996,0.895,0.5,3.7,1.4,0.8,0.3,12.4,82
