,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
0,Alan Anderson\anderal01,0.44299999999999995,2.8,0.348,0.53,0.812,0.4,2.8,1.1,0.8,0.1,7.4,78
1,Alexey Shved\shvedal01,0.397,3.3,0.33799999999999997,0.439,0.807,0.5,2.4,2.5,0.7,0.1,10.3,78
2,Allen Crabbe\crabbal01,0.41200000000000003,1.7,0.353,0.485,0.75,0.1,1.4,0.8,0.4,0.3,3.3,78
3,Andre Roberson\roberan03,0.45799999999999996,1.3,0.247,0.612,0.479,0.9,3.8,1.0,0.8,0.4,3.4,79
4,Anthony Morrow\morroan01,0.46299999999999997,4.4,0.434,0.49700000000000005,0.888,0.5,2.6,0.8,0.7,0.1,10.7,77
5,Archie Goodwin\goodwar01,0.39299999999999996,1.0,0.293,0.419,0.735,0.7,1.8,1.1,0.4,0.2,5.6,77
6,Arron Afflalo\afflaar01,0.424,4.3,0.354,0.466,0.843,0.3,3.2,1.7,0.5,0.1,13.3,77
7,Austin Rivers\riverau01,0.409,1.7,0.298,0.449,0.675,0.4,2.0,2.0,0.6,0.2,7.0,76
8,Avery Bradley\bradlav01,0.429,4.6,0.35200000000000004,0.47,0.79,0.6,3.1,1.8,1.1,0.2,13.9,74
9,Ben Gordon\gordobe01,0.43700000000000006,1.7,0.361,0.475,0.836,0.1,1.1,0.9,0.3,0.0,6.2,75
10,Ben McLemore\mclembe01,0.43700000000000006,4.8,0.358,0.507,0.813,0.4,2.9,1.7,0.9,0.2,12.1,77
11,Bradley Beal\bealbr01,0.42700000000000005,4.1,0.409,0.434,0.7829999999999999,0.9,3.8,3.1,1.2,0.3,15.3,77
12,C.J. Miles\milescj01,0.39799999999999996,6.4,0.345,0.45899999999999996,0.807,0.3,3.1,1.1,0.9,0.4,13.5,78
13,CJ McCollum\mccolcj01,0.436,2.2,0.396,0.46,0.6990000000000001,0.2,1.5,1.0,0.7,0.1,6.8,75
14,Courtney Lee\leeco01,0.44799999999999995,2.9,0.402,0.473,0.86,0.3,2.3,2.0,1.0,0.2,10.1,77
15,Danny Green\greenda02,0.436,5.6,0.418,0.466,0.8740000000000001,0.7,4.2,2.0,1.2,1.1,11.7,78
