Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
Alan Anderson\anderal01,0.443,2.8,0.348,0.53,0.812,0.4,2.8,1.1,0.8,0.1,7.4
Alexey Shved\shvedal01,0.397,3.3,0.338,0.439,0.807,0.5,2.4,2.5,0.7,0.1,10.3
Allen Crabbe\crabbal01,0.412,1.7,0.353,0.485,0.75,0.1,1.4,0.8,0.4,0.3,3.3
Andre Roberson\roberan03,0.458,1.3,0.247,0.612,0.479,0.9,3.8,1,0.8,0.4,3.4
Anthony Morrow\morroan01,0.463,4.4,0.434,0.497,0.888,0.5,2.6,0.8,0.7,0.1,10.7
Archie Goodwin\goodwar01,0.393,1,0.293,0.419,0.735,0.7,1.8,1.1,0.4,0.2,5.6
Arron Afflalo\afflaar01,0.424,4.3,0.354,0.466,0.843,0.3,3.2,1.7,0.5,0.1,13.3
Austin Rivers\riverau01,0.409,1.7,0.298,0.449,0.675,0.4,2,2,0.6,0.2,7
Avery Bradley\bradlav01,0.429,4.6,0.352,0.47,0.79,0.6,3.1,1.8,1.1,0.2,13.9
Ben Gordon\gordobe01,0.437,1.7,0.361,0.475,0.836,0.1,1.1,0.9,0.3,0,6.2
Ben McLemore\mclembe01,0.437,4.8,0.358,0.507,0.813,0.4,2.9,1.7,0.9,0.2,12.1
Bradley Beal\bealbr01,0.427,4.1,0.409,0.434,0.783,0.9,3.8,3.1,1.2,0.3,15.3
C.J. Miles\milescj01,0.398,6.4,0.345,0.459,0.807,0.3,3.1,1.1,0.9,0.4,13.5
CJ McCollum\mccolcj01,0.436,2.2,0.396,0.46,0.699,0.2,1.5,1,0.7,0.1,6.8
Courtney Lee\leeco01,0.448,2.9,0.402,0.473,0.86,0.3,2.3,2,1,0.2,10.1
Danny Green\greenda02,0.436,5.6,0.418,0.466,0.874,0.7,4.2,2,1.2,1.1,11.7
DeMar DeRozan\derozde01,0.413,1.5,0.284,0.426,0.832,0.7,4.6,3.5,1.2,0.2,20.1
Dion Waiters\waitedi01,0.396,3.1,0.297,0.431,0.68,0.5,2.4,2,1.1,0.3,11.8
Dwyane Wade\wadedw01,0.47,1.6,0.284,0.489,0.768,0.9,3.5,4.8,1.2,0.3,21.5
Elijah Millsap\millsel01,0.34,1.9,0.311,0.358,0.674,0.6,3.2,1.2,1.2,0.3,5.3
Eric Gordon\gordoer01,0.411,5.2,0.448,0.38,0.805,0.5,2.6,3.8,0.8,0.2,13.4
Evan Fournier\fournev01,0.44,3.9,0.378,0.48,0.728,0.5,2.6,2.1,0.7,0,12
Evan Turner\turneev01,0.429,1.5,0.277,0.458,0.752,0.5,5.1,5.5,1,0.2,9.5
Garrett Temple\templga01,0.4,1.7,0.375,0.427,0.729,0.5,1.7,1.1,0.8,0.2,3.9
Gary Harris\harriga01,0.304,1.9,0.204,0.395,0.745,0.4,1.2,0.5,0.7,0.1,3.4
Gary Neal\nealga01,0.374,3,0.305,0.407,0.867,0.3,2.4,1.9,0.4,0,10.1
Gerald Green\greenge01,0.416,5.2,0.354,0.478,0.825,0.4,2.5,1.2,0.6,0.2,11.9
Gerald Henderson\hendege02,0.437,1.7,0.331,0.457,0.848,0.5,3.4,2.6,0.6,0.3,12.1
Giannis Antetokounmpo\antetgi01,0.491,0.5,0.159,0.511,0.741,1.2,6.7,2.6,0.9,1,12.7
Hollis Thompson\thompho01,0.413,4,0.401,0.426,0.708,0.7,2.8,1.2,0.8,0.4,8.8
Iman Shumpert\shumpim01,0.41,3.2,0.342,0.458,0.672,0.9,3.6,2.2,1.3,0.3,8
J.J. Redick\redicjj01,0.477,5.9,0.437,0.515,0.901,0.3,2.1,1.8,0.5,0.1,16.4
J.R. Smith\smithjr01,0.417,6.1,0.383,0.462,0.75,0.4,3.1,2.8,1.2,0.3,12.1
Jamal Crawford\crawfja01,0.396,5.7,0.327,0.448,0.901,0.3,1.9,2.5,0.9,0.2,15.8
James Harden\hardeja01,0.44,6.9,0.375,0.48,0.868,0.9,5.7,7,1.9,0.7,27.4
James Young\youngja01,0.353,2.1,0.258,0.528,0.552,0.3,1.4,0.4,0.3,0.1,3.4
Jared Dudley\dudleja01,0.468,2.7,0.385,0.537,0.716,0.6,3.1,1.8,1,0.2,7.2
Jason Terry\terryja01,0.422,4.2,0.39,0.504,0.813,0.2,1.6,1.9,0.9,0.2,7
Jeremy Lamb\lambje01,0.416,2.4,0.342,0.475,0.891,0.2,2.3,0.9,0.4,0.1,6.3
Jimmy Butler\butleji01,0.462,3,0.378,0.484,0.834,1.8,5.8,3.3,1.8,0.6,20
Jodie Meeks\meeksjo01,0.416,3.5,0.349,0.46,0.906,0.2,1.7,1.3,1,0.1,11.1
Joe Johnson\johnsjo02,0.435,4.2,0.359,0.472,0.801,0.7,4.8,3.7,0.7,0.2,14.4
